pr_id,pr_number,title,agent,user,state,total_comments,correctness_count,style_count,security_count,testing_count,other_count,correctness_pct,style_pct,security_pct,testing_pct,other_pct,primary_category
3264933329,2911,Fix: Wait for all partitions in load_collection when some are still loading,Claude_Code,weiliu1031,closed,2,0,0,1,0,1,0.0,0.0,50.0,0.0,50.0,security
3265118634,2,ファイルパス参照を相対パスに統一し、doc/からdocs/に統一,Claude_Code,cm-kojimat,closed,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,none
3265640341,30,Add build staleness detection for debug CLI,Claude_Code,MSch,closed,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,none
3265709660,205,feat: add comprehensive README screenshots with optimized layout,Claude_Code,sugyan,closed,1,0,1,0,0,0,0.0,100.0,0.0,0.0,0.0,style
3265782173,17625,chore: remove HashedPostStateProvider trait,Claude_Code,adust09,open,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,none
3231949586,32656,feat(swagger): Add Swagger annotations to Batch 1 - Core Authentication & User Management,Claude_Code,spbolton,open,3,2,0,0,1,0,66.66666666666666,0.0,0.0,33.33333333333333,0.0,correctness
3231950376,32657,feat(swagger): Add Swagger annotations to Batch 2 - Content Management Core,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
3231951012,32658,feat: add Swagger annotations to Batch 3 - Site Architecture & Templates,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
3231951656,32659,feat: add Swagger annotations to Batch 4 - System Administration,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
3231952364,32660,feat: add Swagger annotations to Batch 5 - Publishing & Distribution,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
3231953027,32661,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
3231953757,32662,feat: add Swagger annotations to Batch 7 - Modern APIs & Specialized Services,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
3231954470,32663,feat: add Swagger annotations to Batch 8 - Legacy & Utility Resources,Claude_Code,spbolton,open,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0,security
